category,sub_category,product_id,title,sku_id,currency_name,sale_price_format,origin_price_format,discount_format,score,review_count,sold_count,seller_id,shop_name,updated_at,canonical_url
mobile-phone-accessories,cases-screen-protectors-stickers,1732190017425999303,Ốp Lưng Điện Thoại cạnh vuông cho iPhone X/Xs - XR - Xsmax - Iphone 11 - 11 Promax- 11 pro |ỐP TPU ANHCASE88,1732190017426064839,VND,11.400,20.000,43%,4.5,193,2644,7496313936505178567,Anhcase88.store,1755358024592,https://www.tiktok.com/shop/vn/pdp/op-lung-%C4%91ien-thoai-tpu-cho-iphone-x-xs-xr-xs-max-11-pro/1732190017425999303
audio-video,headphones-earphones-accessories,1730021036533189184,"Tai Nghe EP-T2 Thân Trong Suốt [Món quà miễn phí] Bao tay choi game, Macron 6 màu, iPX5 chống nước, Âm thanh nổi không dây thực sự với màn hình kỹ thuật số, Micrô tích hợp",1730021036533254720,VND,74.800,400.000,81%,4.5,14568,130955,8647291233737410112,K-YOUNG,1754754028699,https://www.tiktok.com/shop/vn/pdp/tai-nghe-ep-t2-khong-day-macron-6-mau-ipx5-chong-nuoc/1730021036533189184
audio-video,headphones-earphones-accessories,1730558772332890773,"HQAi - Tai nghe nhét tai ngủ X55, với âm thanh nổi Hi-Fi, không thấm nước, tích hợp mic, khử tiếng ồn, cho iPhone  Andriod , điều khiển cảm ứng Nghe Nhạc 3 quà tặng (dây buộc miễn phí+tay áo trò chơi+nhãn dán)",1730558772332956309,VND,222.500,1.652.000,87%,4.5,80491,836194,8646957776056780437,Earbuds & Earphones,0,https://www.tiktok.com/shop/vn/pdp/1730558772332890773
audio-video,headphones-earphones-accessories,1732221014369338697,"HOT SALE – Tai Nghe Bluetooth AP4 AT A6 Chip Jerry Cao Cấp, Fix OS 18, Bảo Hành 6 Tháng",1732825875728205129,VND,300.000,1.400.000,79%,5.0,1,73,7495490539226106185,VietBeat - Tai nghe rẻ,1756654193612,https://www.tiktok.com/shop/vn/pdp/noi-%C4%91ien-%C4%91a-nang-inox-304-nau-mi-lau-mini-tien-loi/1732221014369338697
audio-video,headphones-earphones-accessories,1730057214050601560,"Tai nghe Bluetooth Baseus Bowie E19 TWS không dây, chống nước IPX5, khử ồn - Tai nghe Bluetooth đàm thoại, thể thao",1730057214050667096,VND,309.000,499.000,38%,4.7,644,6227,7495309822392306264,Baseus Vietnam Shop,1754756370240,https://www.tiktok.com/shop/vn/pdp/tai-nghe-bluetooth-baseus-bowie-e19-tws-khong-day-ipx5-enc/1730057214050601560
audio-video,headphones-earphones-accessories,1732680007649691182,"Tai nghe Bluetooth không dây trong tai, Pro5S, với hiệu ứng âm thanh độ trung thực cao HIFI, điều khiển cảm ứng thông minh, micrô độ nét cao, thích hợp cho việc trao đổi thông tin",1732680007649756718,VND,65.000,130.000,50%,5.0,2,11,8653197658860783150,voltone,1759501853473,https://www.tiktok.com/shop/vn/pdp/tai-nghe-bluetooth-pro5s-khong-day-am-thanh-hifi-mau-%C4%91en/1732680007649691182
audio-video,headphones-earphones-accessories,1732103023587526964,"Tai nghe Bluetooth không dây Nhét Tai chống ồn, Thích hợp tất cả các dòng điện thoại trên thị trường - Bảo hành 1 Đổi mới 1",1732102994159896884,VND,112.052,180.000,38%,4.5,678,7673,7495829943986456884,YOOKIE668,1755012749862,https://www.tiktok.com/shop/vn/pdp/tai-nghe-bluetooth-khong-day-yookie-chong-on-bao-hanh-1-%C4%91oi-moi-1/1732103023587526964
audio-video,headphones-earphones-accessories,1731194924373215750,Tai nghe cảm ứng TWS F9 bluetooth 5.3 phiên bản mới tăng giảm âm lượng trực tiếp trên tai nghe - Hàng nhập khẩu cao cấp,1731194983450511878,VND,78.999,150.000,47%,4.6,36,481,7494683194169330182,Hàng Giá Gốc,1755013898966,https://www.tiktok.com/shop/vn/pdp/tai-nghe-bluetooth-5-3-f9-thiet-ke-the-thao-sang-trong/1731194924373215750
audio-video,headphones-earphones-accessories,1729634724385425798,"Tai Nghe Nhét Tai HiFi S2000 Pro Super Bass Chống Ồn Tốt, Âm Thanh Khủng, Chơi Game Ngon Fullbox Earphone Nghe Nhạc",1729649805135284614,VND,57.000,65.000,12%,4.7,6094,61773,7494944028806908294,Điện Tử HL,1754837097560,https://www.tiktok.com/shop/vn/pdp/tai-nghe-hifi-s2000-pro-super-bass-chong-on-am-thanh-kinh-%C4%91ien/1729634724385425798
audio-video,headphones-earphones-accessories,1731938738756290822,"Tai Nghe Nhét Tai Nghe Không Dây, M10 TWS, Gương Tai Nghe Bluetooth Hifi 9D, Có Mic, Màn Hình LED, Sạc Âm Thanh, Âm Thanh Nổi Cầm Tay Kỹ Thuật Số, Chống Nước, Kết Nối Cáp, Chống Ồn",1731938738756356358,VND,54.999,125.998,56%,3.6,158,1700,8647344211948176646,913 3C store,0,https://www.tiktok.com/shop/vn/pdp/1731938738756290822
